Time (days),Strength of Memory,Learning Method,Material Complexity,Information Relevance,Presentation Type,Sleep Quality,Stress Level,Memory Retention (%)
2.6843268200468016,2.181383683100143,Watching,Medium,Medium,Visual,Poor,High,27.858303530662223
6.659928714228421,1.998104433041315,Watching,Medium,Medium,Textual,Poor,High,0.0
5.150758198498695,1.2926926062628703,Doing,Low,Low,Visual,Good,High,1.857433741899252
4.230743540959552,3.232700015456696,Listening,High,High,Textual,Poor,Low,27.431739281648404
1.176528619052812,2.64480872228883,Listening,High,Low,Auditory,Average,Moderate,63.43466932203699
1.1763621903197985,4.3956544654580165,Doing,High,High,Visual,Good,High,80.33807725304578
0.5007769239605763,0.6444931121692621,Doing,High,High,Visual,Average,Moderate,55.72893927144168
6.076615405847052,3.3974056739980685,Listening,Low,High,Visual,Good,Moderate,29.22147058981119
4.24769358102814,3.933269953302025,Watching,Low,Medium,Textual,Good,Low,38.23174807694917
4.985700786792714,3.9176895613473817,Listening,Low,Low,Auditory,Poor,Low,32.252641115834344
0.2420330106410368,4.487332851929863,Doing,Medium,Medium,Visual,Poor,Moderate,95.85024729354632
6.792377979917761,3.7806518427327234,Doing,Medium,Low,Auditory,Average,Low,20.48868184044485
5.84385422152291,4.675145277414633,Listening,Medium,High,Visual,Average,Moderate,33.152732507417355
1.5651398636801055,1.996954699194012,Watching,Low,Medium,Auditory,Poor,High,48.20847235414246
1.3545922737289944,2.764442375381944,Watching,Medium,Medium,Textual,Average,Moderate,70.14760636562818
1.3654911179886935,0.563358484773008,Watching,High,Medium,Textual,Average,Moderate,18.426696185403006
2.1992714764208103,0.5313091428648105,Doing,Medium,High,Auditory,Poor,High,11.424279896259128
3.7208193782624415,1.5805697920318396,Doing,Low,Low,Auditory,Good,Low,26.4074256113448
3.080420628630599,0.9536323871258836,Listening,Low,High,Textual,Poor,Moderate,2.297289765482631
2.109481067366489,1.6709511557108914,Listening,Low,Medium,Auditory,Average,Low,25.20072443671403
4.3217849735844185,1.2966948253777884,Watching,Low,Medium,Auditory,Good,High,0.0
1.0625076384990888,0.6283401117739171,Watching,High,High,Auditory,Poor,Moderate,24.176980572947045
2.1157980748930054,4.591868658827222,Listening,Medium,Medium,Visual,Good,Moderate,66.72946529369845
2.627896718726473,0.5370040912500118,Doing,Medium,Medium,Auditory,Average,Moderate,16.079450163743488
3.246882891097548,3.812369649516884,Watching,Low,Low,Visual,Good,Moderate,45.90991395997981
5.517714133611793,1.1846654911378245,Listening,Medium,Low,Textual,Average,Low,5.754743670037556
1.4777490968926823,4.6050332989982,Doing,High,Low,Textual,Poor,Low,73.77648653942087
3.64821762505392,4.517581728154486,Listening,Low,Low,Textual,Good,High,49.82704912572052
4.187660525148093,3.442555158661658,Doing,Medium,Low,Auditory,Good,Low,38.35887974567861
0.4205078477679843,3.525053674102723,Listening,Medium,Low,Textual,Good,Moderate,96.59394294191192
4.292059478119924,0.5240261388635985,Listening,Medium,Medium,Visual,Average,High,4.0499329731772455
1.2766164534423117,4.931922047511209,Doing,Medium,Medium,Visual,Poor,Moderate,85.02282642456012
0.5488559915984287,4.450246716091165,Doing,Low,Low,Auditory,Poor,Moderate,93.14795816825192
6.647310207047999,4.527978015785414,Watching,Low,High,Visual,Average,High,32.14370643925274
6.762861028214459,3.466600416728924,Watching,High,Low,Visual,Good,Moderate,24.816143900891504
5.677941702003582,2.0515411789454143,Watching,Low,Medium,Textual,Average,Moderate,10.082107652429883
2.201835007296258,4.521418920907164,Watching,Medium,High,Visual,Average,High,66.60974992672472
0.7739375866440488,1.8118261766803656,Listening,Medium,High,Textual,Poor,Low,69.86371320644912
4.821207882933883,3.0322019450399127,Listening,Medium,High,Textual,Average,High,24.912201238339836
3.1370522068032494,0.9487893755474708,Listening,High,Medium,Visual,Good,High,2.497096956880629
0.942063820428974,4.648800335597376,Doing,Low,High,Visual,Average,High,100.0
3.5167206797677646,1.13346705997046,Listening,Low,Medium,Auditory,Average,Low,12.121920284436875
0.3372807956950069,1.5120356257868326,Watching,Low,Medium,Auditory,Average,High,86.2653306436834
6.374310774343596,3.011603711576968,Watching,Medium,Low,Visual,Good,Low,17.458386369654658
1.8855818730401168,3.938418500958417,Watching,Medium,Medium,Textual,Average,Moderate,59.2663042823973
4.671403762042475,3.287080876713345,Listening,Medium,High,Textual,Poor,High,22.149443598223165
2.250806425016936,1.544602607600703,Watching,High,Medium,Auditory,Average,Moderate,19.05402302421372
3.688469346126895,0.5042436913737065,Listening,High,Medium,Textual,Average,Moderate,7.994864708091311
3.87230092746863,3.907177611383476,Doing,Medium,Low,Auditory,Poor,Low,45.1046205863594
1.3754957431261368,4.933432966599922,Doing,High,Low,Textual,Poor,Moderate,90.08741521644971
6.790133931575454,4.144609041377407,Watching,High,Medium,Visual,Poor,Moderate,20.37074104301143
5.44841648119169,2.570929781704769,Watching,High,Medium,Visual,Poor,High,19.34523175424689
6.582542696792905,4.56695267629598,Doing,Low,Medium,Textual,Poor,Moderate,35.92555780736255
6.274308717950777,2.344314529032575,Listening,High,Low,Auditory,Poor,High,20.177241770402297
4.225509853796488,2.862203379095604,Doing,Medium,Low,Visual,Good,Moderate,40.183419302234654
6.460932221659506,2.6470839532805748,Watching,Low,High,Auditory,Average,Low,18.170129972863016
0.7105982641582446,2.514307426994862,Listening,High,High,Visual,Good,Moderate,80.55889017911706
1.452281750692102,3.988358461822576,Watching,Medium,High,Textual,Good,Low,71.50894587493902
0.4120682934827127,2.870460082712714,Watching,High,High,Visual,Poor,High,94.591303691244
2.3447792822665243,1.9252270491134724,Doing,Medium,Low,Textual,Average,High,49.82216079822544
2.781873298857426,1.6617117544631523,Doing,Medium,Low,Auditory,Good,Moderate,27.78243835594463
1.972308319239882,0.6698629263534502,Watching,High,Medium,Visual,Average,Moderate,3.1547537448570893
5.818288813148312,3.1243782284737067,Doing,High,High,Auditory,Average,High,26.212543704489672
2.5615979541857663,1.534826369304654,Watching,Low,Medium,Auditory,Poor,High,15.895851151171644
2.038448116842927,1.1666026490737238,Watching,High,Medium,Textual,Average,High,15.142758875986395
3.8446029737919143,3.4422348372245493,Listening,Medium,Low,Auditory,Good,Low,35.79405628818469
1.0723771523258625,3.56544166019697,Listening,Low,Medium,Visual,Good,Moderate,78.72254592057284
5.635159167202874,3.884697015159497,Listening,Medium,Medium,Textual,Poor,High,20.45324228785497
0.6143994413904187,2.7660960335236617,Doing,Medium,Low,Textual,Good,High,83.78431187925396
6.909519862543569,4.52324572341749,Listening,High,Low,Textual,Poor,Moderate,15.574635477485206
5.428488908146936,4.713542390292025,Watching,Medium,Low,Auditory,Good,Moderate,32.96408065521111
1.4711382025857898,4.133169229066203,Doing,High,Low,Visual,Good,Low,69.32170215642537
0.1381026081528565,3.3601706690368425,Doing,Medium,High,Visual,Poor,High,100.0
5.726683856338355,1.866744291160349,Watching,Low,High,Visual,Average,Moderate,7.050509305067308
4.977315672548558,4.923252147290995,Listening,High,High,Textual,Poor,Low,34.10722911569037
5.130149459482812,1.7336127523637226,Doing,Low,Medium,Textual,Average,High,9.149621861290017
5.421765392133025,1.4119561489569397,Watching,High,High,Visual,Average,Low,3.849124341944386
0.6109080969652235,2.489693512039622,Watching,Low,Low,Auditory,Poor,Moderate,79.25823706763468
2.573413526955481,0.7557825682057481,Watching,High,High,Textual,Poor,Low,4.568982126356316
0.8994965107233951,4.903225091023058,Doing,Low,Low,Visual,Poor,High,93.67941616277147
6.055413638541595,3.147951003873912,Doing,Low,High,Auditory,Average,Moderate,15.249528013833492
4.40075707511015,3.006284412488789,Listening,High,High,Textual,Average,High,27.6776299629278
2.38319637148328,3.4510832595487395,Listening,High,Low,Textual,Average,Low,49.53565239516495
0.5385526169735632,2.73660641499743,Watching,Medium,Low,Textual,Average,Low,81.15484819872806
2.245778019838069,0.6442858269254371,Watching,Medium,Medium,Visual,Poor,Low,0.0
2.3437649219845547,3.255400799781785,Watching,High,Medium,Textual,Poor,Moderate,49.339188680724185
5.134282630532642,3.722782446303938,Watching,High,Medium,Textual,Average,Low,29.739351025843167
4.499146552350971,2.375370772808239,Doing,Low,High,Auditory,Good,Moderate,24.75350272882265
6.221767923776653,3.907830074320368,Listening,Low,High,Visual,Poor,Low,22.203264533479903
3.3582829836174506,1.5215058470228928,Doing,Medium,Low,Auditory,Good,Low,15.8054952922897
0.9252002969742816,1.495744659797828,Watching,Medium,Low,Textual,Good,Moderate,55.56949178957857
5.021389031838665,1.2263764445940828,Listening,Medium,Medium,Visual,Good,Moderate,0.0
5.3494168354565925,2.173976419051228,Watching,Low,Low,Visual,Average,Moderate,10.514027977716465
3.972812663229525,4.311554159250876,Doing,Low,High,Textual,Poor,High,46.33928921171904
5.41967354168647,4.225604279670789,Watching,Low,Low,Visual,Good,Low,28.608105966894044
3.5071896149142963,2.222708935835767,Listening,Medium,Low,Visual,Average,High,25.414618105028865
3.7068565227357593,3.1510343119110646,Listening,High,Low,Auditory,Poor,Low,23.963891189846557
3.050033026673993,3.74367342413712,Watching,Medium,Low,Visual,Average,Low,53.39790521474866
0.2753919745342568,1.5854304858261037,Doing,Low,Low,Visual,Poor,Low,95.99050006642476
0.8444508462538007,1.256634886526362,Doing,Medium,Medium,Auditory,Poor,Low,54.9327410709037
0.3168613812384663,4.874431969455399,Listening,Medium,Medium,Textual,Average,High,99.85834317547354
4.491231837720084,3.279007909443284,Listening,Medium,High,Auditory,Good,Low,29.176815837143938
2.2690562694266543,4.916370748251487,Doing,Medium,Medium,Textual,Poor,High,68.97602474155056
3.609137769036449,2.019901942095031,Doing,Low,Low,Textual,Poor,Moderate,19.74794449600435
6.362208670090042,3.663642649883592,Watching,Medium,Medium,Textual,Good,High,19.56995299775945
1.8201163811272372,1.5017163644355698,Doing,Low,High,Auditory,Poor,Low,31.466143029418955
2.9316421689458454,1.6754007707326082,Listening,Medium,Medium,Textual,Good,High,19.92237026519488
5.313302855947036,2.803559545713308,Listening,Low,High,Auditory,Poor,High,15.701973525783345
1.6787073418921952,1.9382815647863203,Doing,High,High,Auditory,Good,Moderate,50.94215969186937
0.6311613778186717,1.25429703728263,Listening,Low,High,Textual,Poor,Moderate,73.23899749602775
2.0992850251049995,1.6829631589519671,Listening,Low,Low,Textual,Poor,Moderate,34.38096980005352
1.2124268820526307,0.6608677750963909,Watching,High,High,Auditory,Poor,Low,20.722724700283333
6.514913801163754,3.6699062966486897,Doing,High,Medium,Auditory,Good,High,22.71176362049882
5.676030618994477,2.714524956886377,Watching,High,Medium,Textual,Poor,High,16.836458210227686
4.470485919921922,0.9240937988203652,Listening,High,Medium,Textual,Average,Moderate,1.6595657771664474
6.113078072295252,1.2726229690782105,Listening,High,High,Textual,Average,Low,0.0
5.64533733060389,0.961405421506898,Doing,High,High,Auditory,Average,Low,5.777082645116639
1.3873334063136475,3.2566676372414443,Doing,Medium,Low,Auditory,Poor,Low,73.91780900168146
6.258657089580846,0.923946636256222,Doing,Medium,High,Auditory,Good,Moderate,4.722412811870587
