Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Arithmetic,3,9,61,Video,5,8.2,10.0,10.0,9.0,23,3.6
Algebra,6,8,89,Video,7,6.9,10.0,9.2,8.0,9,19.0
Advanced Algebra,7,7,94,Video,7,7.7,10.0,10.0,9.0,13,6.3
Abstract Algebra,9,6,125,Practical,6,7.2,10.0,9.8,9.2,23,7.1
Geometry,5,8,83,Text,10,7.3,10.0,9.9,9.2,13,0.3
Euclidean Geometry,6,7,93,Text,6,7.3,10.0,9.5,8.3,27,14.5
Non-Euclidean Geometry,9,6,115,Practical,4,8.4,10.0,9.6,8.2,7,16.6
Trigonometry,6,7,97,Practical,5,8.5,10.0,9.6,8.2,23,16.7
Linear Algebra,8,9,102,Video,9,6.7,10.0,10.0,8.9,23,9.8
Matrix Algebra,8,9,112,Video,9,7.0,10.0,9.8,9.2,17,7.7
Graph Theory,8,8,120,Audio,5,8.7,10.0,9.8,8.8,9,14.4
Combinatorics,7,8,95,Video,9,7.1,10.0,9.7,8.2,21,22.4
Game Theory,7,9,97,Video,4,8.5,10.0,9.9,8.7,27,9.8
Calculus (Differential & Integral),9,9,120,Video,10,5.7,10.0,9.8,8.9,17,5.0
Multivariable Calculus,9,8,117,Video,5,7.5,10.0,10.0,8.8,22,6.8
Probability & Statistics,8,10,102,Video,8,7.6,10.0,10.0,9.4,28,3.6
Bayesian Statistics,9,10,120,Audio,10,6.8,10.0,10.0,9.2,15,6.2
Number Theory,7,7,94,Video,7,7.8,10.0,8.7,8.0,30,16.2
Set Theory,6,7,92,Text,8,7.4,10.0,10.0,8.9,30,4.5
Classical Mechanics,8,8,105,Video,9,7.4,10.0,10.0,8.8,7,9.7
Newtonian Mechanics,8,8,117,Audio,10,6.4,10.0,9.5,8.5,28,15.9
Lagrangian Mechanics,9,7,116,Practical,10,6.6,10.0,9.4,8.7,22,16.0
Quantum Mechanics,10,7,128,Video,7,6.9,10.0,9.4,8.4,15,13.2
Quantum Field Theory,10,6,134,Practical,9,6.2,10.0,9.6,8.7,25,10.9
String Theory,10,5,123,Practical,4,7.5,10.0,9.8,9.0,18,5.4
Thermodynamics,9,7,121,Video,7,7.0,10.0,9.1,8.0,25,19.8
Statistical Mechanics,9,7,126,Audio,9,7.6,10.0,10.0,9.2,28,3.8
Electromagnetism,8,8,101,Video,8,6.3,10.0,10.0,9.5,15,7.9
Optics,7,8,100,Video,8,6.9,10.0,10.0,9.4,13,0.0
Relativity (General & Special),10,6,131,Practical,7,6.8,10.0,10.0,9.5,20,3.2
Plasma Physics,9,7,123,Video,10,6.2,10.0,9.1,8.0,25,21.5
Organic Chemistry,8,7,103,Audio,7,7.5,10.0,9.8,8.8,25,12.9
Inorganic Chemistry,7,7,93,Video,6,7.3,10.0,9.8,8.8,8,25.5
Physical Chemistry,8,8,112,Video,9,7.3,10.0,10.0,8.8,15,13.7
Analytical Chemistry,7,9,101,Practical,5,8.8,10.0,10.0,8.6,19,9.0
Biochemistry,8,9,111,Video,9,5.7,10.0,10.0,9.2,21,7.5
Polymer Chemistry,7,7,101,Video,4,8.0,10.0,9.6,8.5,9,6.1
Electrochemistry,8,8,106,Practical,10,6.5,10.0,9.0,8.5,17,14.6
Genetics,8,9,111,Practical,7,8.0,10.0,9.7,8.3,27,12.8
Molecular Biology,9,8,121,Video,8,6.9,10.0,10.0,9.4,20,10.6
Microbiology,7,8,96,Audio,8,7.1,10.0,9.2,8.4,14,13.3
Human Anatomy,8,9,119,Audio,4,7.7,10.0,10.0,9.2,24,7.4
Evolutionary Biology,7,7,102,Video,5,7.2,10.0,10.0,9.5,25,1.8
Neuroscience,9,9,114,Audio,10,7.2,10.0,10.0,9.0,22,18.7
Botany,6,7,93,Audio,8,6.2,10.0,10.0,8.9,8,9.4
Zoology,6,7,85,Video,7,8.6,10.0,10.0,9.1,14,18.2
Ecology,7,8,103,Audio,4,8.7,10.0,10.0,9.5,28,9.1
Marine Biology,7,7,105,Practical,8,7.4,10.0,10.0,8.4,12,18.4
Virology,9,9,115,Audio,10,6.8,10.0,9.2,8.0,18,21.8
Epidemiology,9,9,124,Video,9,6.7,10.0,10.0,8.2,21,20.0
Programming Fundamentals,6,10,92,Video,10,6.7,10.0,10.0,9.2,14,0.0
Data Structures & Algorithms,8,10,114,Practical,7,7.3,10.0,9.5,8.2,10,16.6
Machine Learning,9,10,129,Audio,8,7.4,10.0,10.0,8.8,21,16.2
Deep Learning,9,10,118,Video,4,8.3,10.0,10.0,9.1,26,8.8
Artificial Intelligence,9,10,116,Practical,10,6.0,10.0,9.2,7.8,23,15.0
Natural Language Processing (NLP),9,9,115,Practical,9,6.4,10.0,8.9,8.0,19,19.7
Computer Vision,9,9,115,Practical,5,7.5,10.0,10.0,9.1,24,17.5
Reinforcement Learning,9,8,119,Video,4,8.8,10.0,10.0,10.0,8,6.2
Quantum Computing,10,7,131,Audio,6,7.4,9.1,9.7,8.6,19,13.7
Cybersecurity,8,9,111,Practical,10,5.5,10.0,9.8,9.2,19,12.8
