subject_/topic,complexity_1-10,relevance_1-10,study_time_mins,learning_method,stress_level,sleep_hours,recall_score_1hr,recall_score_1day,recall_score_1week,days_since_learning,forgetfulness_probability_%,memory_strength,predicted_retention_%
Arithmetic,3,9,61,Video,5,8.2,10.0,10.0,9.0,23,3.6,5.0,1.01
Algebra,6,8,89,Video,7,6.9,10.0,9.2,8.0,9,19.0,5.0,16.53
Advanced Algebra,7,7,94,Video,7,7.7,10.0,10.0,9.0,13,6.3,5.0,7.43
Abstract Algebra,9,6,125,Practical,6,7.2,10.0,9.8,9.2,23,7.1,5.0,1.01
Geometry,5,8,83,Text,10,7.3,10.0,9.9,9.2,13,0.3,5.0,7.43
Euclidean Geometry,6,7,93,Text,6,7.3,10.0,9.5,8.3,27,14.5,5.0,0.45
Non-Euclidean Geometry,9,6,115,Practical,4,8.4,10.0,9.6,8.2,7,16.6,5.0,24.66
Trigonometry,6,7,97,Practical,5,8.5,10.0,9.6,8.2,23,16.7,5.0,1.01
Linear Algebra,8,9,102,Video,9,6.7,10.0,10.0,8.9,23,9.8,5.0,1.01
Matrix Algebra,8,9,112,Video,9,7.0,10.0,9.8,9.2,17,7.7,5.0,3.34
Graph Theory,8,8,120,Audio,5,8.7,10.0,9.8,8.8,9,14.4,5.0,16.53
Combinatorics,7,8,95,Video,9,7.1,10.0,9.7,8.2,21,22.4,5.0,1.5
Game Theory,7,9,97,Video,4,8.5,10.0,9.9,8.7,27,9.8,5.0,0.45
Calculus (Differential & Integral),9,9,120,Video,10,5.7,10.0,9.8,8.9,17,5.0,5.0,3.34
Multivariable Calculus,9,8,117,Video,5,7.5,10.0,10.0,8.8,22,6.8,5.0,1.23
Probability & Statistics,8,10,102,Video,8,7.6,10.0,10.0,9.4,28,3.6,5.0,0.37
Bayesian Statistics,9,10,120,Audio,10,6.8,10.0,10.0,9.2,15,6.2,5.0,4.98
Number Theory,7,7,94,Video,7,7.8,10.0,8.7,8.0,30,16.2,5.0,0.25
Set Theory,6,7,92,Text,8,7.4,10.0,10.0,8.9,30,4.5,5.0,0.25
Classical Mechanics,8,8,105,Video,9,7.4,10.0,10.0,8.8,7,9.7,5.0,24.66
Newtonian Mechanics,8,8,117,Audio,10,6.4,10.0,9.5,8.5,28,15.9,5.0,0.37
Lagrangian Mechanics,9,7,116,Practical,10,6.6,10.0,9.4,8.7,22,16.0,5.0,1.23
Quantum Mechanics,10,7,128,Video,7,6.9,10.0,9.4,8.4,15,13.2,5.0,4.98
Quantum Field Theory,10,6,134,Practical,9,6.2,10.0,9.6,8.7,25,10.9,5.0,0.67
String Theory,10,5,123,Practical,4,7.5,10.0,9.8,9.0,18,5.4,5.0,2.73
Thermodynamics,9,7,121,Video,7,7.0,10.0,9.1,8.0,25,19.8,5.0,0.67
Statistical Mechanics,9,7,126,Audio,9,7.6,10.0,10.0,9.2,28,3.8,5.0,0.37
Electromagnetism,8,8,101,Video,8,6.3,10.0,10.0,9.5,15,7.9,5.0,4.98
Optics,7,8,100,Video,8,6.9,10.0,10.0,9.4,13,0.0,5.0,7.43
Relativity (General & Special),10,6,131,Practical,7,6.8,10.0,10.0,9.5,20,3.2,5.0,1.83
Plasma Physics,9,7,123,Video,10,6.2,10.0,9.1,8.0,25,21.5,5.0,0.67
Organic Chemistry,8,7,103,Audio,7,7.5,10.0,9.8,8.8,25,12.9,5.0,0.67
Inorganic Chemistry,7,7,93,Video,6,7.3,10.0,9.8,8.8,8,25.5,5.0,20.19
Physical Chemistry,8,8,112,Video,9,7.3,10.0,10.0,8.8,15,13.7,5.0,4.98
Analytical Chemistry,7,9,101,Practical,5,8.8,10.0,10.0,8.6,19,9.0,5.0,2.24
Biochemistry,8,9,111,Video,9,5.7,10.0,10.0,9.2,21,7.5,5.0,1.5
Polymer Chemistry,7,7,101,Video,4,8.0,10.0,9.6,8.5,9,6.1,5.0,16.53
Electrochemistry,8,8,106,Practical,10,6.5,10.0,9.0,8.5,17,14.6,5.0,3.34
Genetics,8,9,111,Practical,7,8.0,10.0,9.7,8.3,27,12.8,5.0,0.45
Molecular Biology,9,8,121,Video,8,6.9,10.0,10.0,9.4,20,10.6,5.0,1.83
Microbiology,7,8,96,Audio,8,7.1,10.0,9.2,8.4,14,13.3,5.0,6.08
Human Anatomy,8,9,119,Audio,4,7.7,10.0,10.0,9.2,24,7.4,5.0,0.82
Evolutionary Biology,7,7,102,Video,5,7.2,10.0,10.0,9.5,25,1.8,5.0,0.67
Neuroscience,9,9,114,Audio,10,7.2,10.0,10.0,9.0,22,18.7,5.0,1.23
Botany,6,7,93,Audio,8,6.2,10.0,10.0,8.9,8,9.4,5.0,20.19
Zoology,6,7,85,Video,7,8.6,10.0,10.0,9.1,14,18.2,5.0,6.08
Ecology,7,8,103,Audio,4,8.7,10.0,10.0,9.5,28,9.1,5.0,0.37
Marine Biology,7,7,105,Practical,8,7.4,10.0,10.0,8.4,12,18.4,5.0,9.07
Virology,9,9,115,Audio,10,6.8,10.0,9.2,8.0,18,21.8,5.0,2.73
Epidemiology,9,9,124,Video,9,6.7,10.0,10.0,8.2,21,20.0,5.0,1.5
Programming Fundamentals,6,10,92,Video,10,6.7,10.0,10.0,9.2,14,0.0,5.0,6.08
Data Structures & Algorithms,8,10,114,Practical,7,7.3,10.0,9.5,8.2,10,16.6,5.0,13.53
Machine Learning,9,10,129,Audio,8,7.4,10.0,10.0,8.8,21,16.2,5.0,1.5
Deep Learning,9,10,118,Video,4,8.3,10.0,10.0,9.1,26,8.8,5.0,0.55
Artificial Intelligence,9,10,116,Practical,10,6.0,10.0,9.2,7.8,23,15.0,5.0,1.01
Natural Language Processing (NLP),9,9,115,Practical,9,6.4,10.0,8.9,8.0,19,19.7,5.0,2.24
Computer Vision,9,9,115,Practical,5,7.5,10.0,10.0,9.1,24,17.5,5.0,0.82
Reinforcement Learning,9,8,119,Video,4,8.8,10.0,10.0,10.0,8,6.2,5.0,20.19
Quantum Computing,10,7,131,Audio,6,7.4,9.1,9.7,8.6,19,13.7,3.971428571428571,0.84
Cybersecurity,8,9,111,Practical,10,5.5,10.0,9.8,9.2,19,12.8,5.0,2.24
Ethical Hacking,8,8,114,Practical,7,7.6,10.0,10.0,9.2,28,6.2,5.0,0.37
Blockchain Technology,7,9,100,Video,6,8.5,10.0,10.0,9.3,21,0.0,5.0,1.5
Cloud Computing,7,9,107,Video,5,8.4,10.0,10.0,9.1,26,4.4,5.0,0.55
Software Engineering,7,9,98,Video,5,7.7,10.0,10.0,8.9,16,18.8,5.0,4.08
Operating Systems,7,8,113,Practical,3,7.8,10.0,10.0,9.0,9,8.6,5.0,16.53
Distributed Systems,9,8,123,Audio,6,7.6,10.0,10.0,8.8,25,10.8,5.0,0.67
Computer Networks,7,8,95,Video,5,7.9,10.0,10.0,8.6,9,12.5,5.0,16.53
Database Management Systems (DBMS),7,9,94,Video,9,6.3,10.0,9.9,9.0,28,19.5,5.0,0.37
Mechanical Engineering,8,8,112,Video,7,7.7,10.0,9.9,9.0,20,18.1,5.0,1.83
Electrical Engineering,8,8,108,Video,6,8.6,10.0,10.0,8.7,14,24.1,5.0,6.08
Civil Engineering,7,8,103,Audio,10,6.6,10.0,9.4,8.1,29,18.2,5.0,0.3
Aerospace Engineering,9,7,122,Practical,6,7.8,10.0,10.0,8.8,10,13.5,5.0,13.53
Robotics,9,9,119,Video,10,6.0,10.0,10.0,9.3,26,0.0,5.0,0.55
Mechatronics,8,8,105,Video,10,7.2,10.0,9.6,8.5,17,22.4,5.0,3.34
Signal Processing,8,8,102,Audio,4,8.3,7.3,8.5,7.5,17,19.2,1.9142857142857141,0.01
Quadratic Equations,5,9,77,Text,7,7.1,10.0,9.9,8.6,17,15.1,5.0,3.34
Polynomials,6,8,94,Video,5,8.0,10.0,10.0,9.2,8,2.5,5.0,20.19
Factorization,5,8,81,Text,5,8.2,10.0,9.4,8.9,23,8.1,5.0,1.01
Binomial Theorem,7,7,93,Video,8,7.2,10.0,9.8,8.6,15,9.8,5.0,4.98
Matrices & Determinants,8,9,110,Text,7,8.0,10.0,10.0,9.8,8,0.0,5.0,20.19
Limits & Continuity,7,8,101,Audio,6,7.9,10.0,9.5,8.7,30,10.3,5.0,0.25
Differentiation,8,9,105,Practical,8,7.0,10.0,10.0,9.3,21,4.3,5.0,1.5
Integration,8,9,110,Video,7,7.6,10.0,10.0,9.3,22,11.2,5.0,1.23
Partial Derivatives,9,8,120,Practical,6,7.9,10.0,10.0,9.2,10,2.5,5.0,13.53
Laplace Transforms,9,7,114,Video,9,6.2,10.0,10.0,8.6,14,15.1,5.0,6.08
Euclidean Postulates,4,8,71,Video,8,7.7,10.0,10.0,8.8,15,18.1,5.0,4.98
Coordinate Geometry,6,9,92,Practical,8,6.9,10.0,9.7,8.8,11,9.4,5.0,11.08
Conic Sections,7,8,105,Video,6,7.6,10.0,9.6,8.3,22,13.4,5.0,1.23
Trigonometric Identities,6,8,95,Video,5,8.4,10.0,10.0,9.3,19,5.8,5.0,2.24
"Sine, Cosine, Tangent Functions",5,9,73,Video,5,8.4,10.0,10.0,9.4,13,11.9,5.0,7.43
Euler’s Formula,8,7,105,Video,10,6.1,10.0,10.0,8.7,26,14.0,5.0,0.55
Prime Numbers,5,8,82,Video,8,7.5,10.0,10.0,8.8,23,9.3,5.0,1.01
Modular Arithmetic,7,7,102,Practical,5,7.7,10.0,9.0,8.1,9,21.4,5.0,16.53
Fermat’s Theorem,8,6,112,Practical,7,8.3,10.0,9.9,9.2,11,2.5,5.0,11.08
Boolean Algebra,6,9,109,Audio,6,7.3,10.0,9.6,8.2,25,21.4,5.0,0.67
Pigeonhole Principle,6,7,92,Practical,7,7.5,10.0,9.0,8.5,18,17.0,5.0,2.73
"Mean, Median, Mode",5,10,85,Practical,8,6.7,10.0,9.4,8.6,13,12.5,5.0,7.43
Standard Deviation,6,9,94,Audio,9,7.9,10.0,10.0,8.9,15,6.8,5.0,4.98
