Subject / Topic,Subfield,Complexity (1-10),Relevance (1-10),
Arithmetic,Basic Math,3,9,
Algebra,Pure Math,6,8,
Advanced Algebra,Pure Math,7,7,
Abstract Algebra,Pure Math,9,6,
Geometry,Pure Math,5,8,
Euclidean Geometry,Pure Math,6,7,
Non-Euclidean Geometry,Pure Math,9,6,
Trigonometry,Applied Math,6,7,
Linear Algebra,Applied Math,8,9,
Matrix Algebra,Applied Math,8,9,
Graph Theory,Discrete Math,8,8,
Combinatorics,Discrete Math,7,8,
Game Theory,Discrete Math,7,9,
Calculus (Differential & Integral),Applied Math,9,9,
Multivariable Calculus,Applied Math,9,8,
Probability & Statistics,Applied Math,8,10,
Bayesian Statistics,Applied Math,9,10,
Number Theory,Pure Math,7,7,
Set Theory,Pure Math,6,7,
Classical Mechanics,Physics,8,8,
Newtonian Mechanics,Physics,8,8,
Lagrangian Mechanics,Physics,9,7,
Quantum Mechanics,Physics,10,7,
Quantum Field Theory,Physics,10,6,
String Theory,Physics,10,5,
Thermodynamics,Physics,9,7,
Statistical Mechanics,Physics,9,7,
Electromagnetism,Physics,8,8,
Optics,Physics,7,8,
Relativity (General & Special),Physics,10,6,
Plasma Physics,Physics,9,7,
Organic Chemistry,Chemistry,8,7,
Inorganic Chemistry,Chemistry,7,7,
Physical Chemistry,Chemistry,8,8,
Analytical Chemistry,Chemistry,7,9,
Biochemistry,Chemistry,8,9,
Polymer Chemistry,Chemistry,7,7,
Electrochemistry,Chemistry,8,8,
Genetics,Biology,8,9,
Molecular Biology,Biology,9,8,
Microbiology,Biology,7,8,
Human Anatomy,Biology,8,9,
Evolutionary Biology,Biology,7,7,
Neuroscience,Biology,9,9,
Botany,Biology,6,7,
Zoology,Biology,6,7,
Ecology,Biology,7,8,
Marine Biology,Biology,7,7,
Virology,Biology,9,9,
Epidemiology,Biology,9,9,
Programming Fundamentals,CS,6,10,
Data Structures & Algorithms,CS,8,10,
Machine Learning,AI,9,10,
