time_days,strength_of_memory,learning_method,material_complexity,information_relevance,presentation_type,sleep_quality,stress_level,memory_retention_%
2.6843268200468,2.18138368310014,Watching,Medium,Medium,Visual,Poor,High,27.8583035306622
6.65992871422842,1.99810443304132,Watching,Medium,Medium,Textual,Poor,High,0
5.1507581984987,1.29269260626287,Doing,Low,Low,Visual,Good,High,1.85743374189925
4.23074354095955,3.2327000154567,Listening,High,High,Textual,Poor,Low,27.4317392816484
1.17652861905281,2.64480872228883,Listening,High,Low,Auditory,Average,Moderate,63.434669322037
1.1763621903198,4.39565446545802,Listening + Watching,High,High,Visual,Good,High,80.3380772530458
0.500776923960576,0.644493112169262,Doing,High,High,Visual,Average,Moderate,55.7289392714417
6.07661540584705,3.39740567399807,Listening + Watching,Low,High,Visual,Good,Moderate,29.2214705898112
4.24769358102814,3.93326995330203,Watching,Low,Medium,Textual,Good,Low,38.2317480769492
4.98570078679271,3.91768956134738,Listening,Low,Low,Auditory,Poor,Low,32.2526411158343
0.242033010641037,4.48733285192986,Listening + Watching,Medium,Medium,Visual,Poor,Moderate,95.8502472935463
6.79237797991776,3.78065184273272,Listening + Watching,Medium,Low,Auditory,Average,Low,20.4886818404449
5.84385422152291,4.67514527741463,Listening,Medium,High,Visual,Average,Moderate,33.1527325074174
1.56513986368011,1.99695469919401,Watching,Low,Medium,Auditory,Poor,High,48.2084723541425
1.35459227372899,2.76444237538194,Listening + Watching,Medium,Medium,Textual,Average,Moderate,70.1476063656282
1.36549111798869,0.563358484773008,Listening + Watching,High,Medium,Textual,Average,Moderate,18.426696185403
2.19927147642081,0.531309142864811,Doing,Medium,High,Auditory,Poor,High,11.4242798962591
3.72081937826244,1.58056979203184,Doing,Low,Low,Auditory,Good,Low,26.4074256113448
3.0804206286306,0.953632387125884,Listening,Low,High,Textual,Poor,Moderate,2.29728976548263
2.10948106736649,1.67095115571089,Listening,Low,Medium,Auditory,Average,Low,25.200724436714
4.32178497358442,1.29669482537779,Watching,Low,Medium,Auditory,Good,High,0
1.06250763849909,0.628340111773917,Watching,High,High,Auditory,Poor,Moderate,24.176980572947
2.11579807489301,4.59186865882722,Listening + Watching,Medium,Medium,Visual,Good,Moderate,66.7294652936985
2.62789671872647,0.537004091250012,Doing,Medium,Medium,Auditory,Average,Moderate,16.0794501637435
3.24688289109755,3.81236964951688,Watching,Low,Low,Visual,Good,Moderate,45.9099139599798
5.51771413361179,1.18466549113782,Listening + Watching,Medium,Low,Textual,Average,Low,5.75474367003756
1.47774909689268,4.6050332989982,Listening + Watching,High,Low,Textual,Poor,Low,73.7764865394209
3.64821762505392,4.51758172815449,Listening,Low,Low,Textual,Good,High,49.8270491257205
